"fish_sample_id","impoundment_code","sample_date","gear_description","location","units_of_effort","effort_description","species","length","length_category","weight","group_count"
"93330","MILR","2022-10-27","GILL NET-CORE PANEL","Sample Grid #419","18.00000","Hours","Freshwater Drum","338","Q-P","441","1"
"93304","CHNR","2022-10-18","GILL NET-CORE PANEL","Sample Grid #310","20.00000","Hours","Freshwater Drum","314","Q-P","","1"
"93304","CHNR","2022-10-18","GILL NET-CORE PANEL","Sample Grid #310","20.00000","Hours","Freshwater Drum","314","Q-P","","1"
"93299","TCRR","2022-10-26","GILL NET-CORE PANEL","Sample Grid #154","24.00000","Hours","Freshwater Drum","390","P-M","765","1"
"93299","TCRR","2022-10-26","GILL NET-CORE PANEL","Sample Grid #154","24.00000","Hours","Freshwater Drum","375","Q-P","622","1"
"93299","TCRR","2022-10-26","GILL NET-CORE PANEL","Sample Grid #154","24.00000","Hours","Freshwater Drum","130","SS","","1"
"93298","TCRR","2022-10-26","GILL NET-CORE PANEL","Sample Grid #209","24.00000","Hours","Freshwater Drum","398","P-M","812","1"
"93297","TCRR","2022-10-26","GILL NET-CORE PANEL","Sample Grid #210","24.00000","Hours","Freshwater Drum","171","SS","67","1"
"93285","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #134","24.00000","Hours","Freshwater Drum","401","P-M","770","1"
"93284","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #125","24.00000","Hours","Freshwater Drum","412","P-M","1039","1"
"93284","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #125","24.00000","Hours","Freshwater Drum","389","P-M","720","1"
"93284","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #125","24.00000","Hours","Freshwater Drum","405","P-M","766","1"
"93284","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #125","24.00000","Hours","Freshwater Drum","423","P-M","897","1"
"93284","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #125","24.00000","Hours","Freshwater Drum","374","Q-P","603","1"
"93284","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #125","24.00000","Hours","Freshwater Drum","415","P-M","838","1"
"93284","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #125","24.00000","Hours","Freshwater Drum","420","P-M","890","1"
"93282","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #185","24.00000","Hours","Freshwater Drum","147","SS","33","1"
"93282","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #185","24.00000","Hours","Freshwater Drum","313","Q-P","357","1"
"93282","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #185","24.00000","Hours","Freshwater Drum","265","S-Q","227","1"
"93282","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #185","24.00000","Hours","Freshwater Drum","272","S-Q","223","1"
"93281","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #172","24.00000","Hours","Freshwater Drum","439","P-M","871","1"
"93281","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #172","24.00000","Hours","Freshwater Drum","152","SS","36","1"
"93281","TCRR","2022-10-25","GILL NET-CORE PANEL","Sample Grid #172","24.00000","Hours","Freshwater Drum","273","S-Q","217","1"
"93270","TCRR","2022-10-21","GILL NET-CORE PANEL","Sample Grid #401","24.00000","Hours","Freshwater Drum","420","P-M","860","1"
"93269","TCRR","2022-10-21","GILL NET-CORE PANEL","Sample Grid #275","24.00000","Hours","Freshwater Drum","167","SS","64","1"
"93268","TCRR","2022-10-21","GILL NET-CORE PANEL","Sample Grid #260","24.00000","Hours","Freshwater Drum","344","Q-P","492","1"
"93266","TCRR","2022-10-21","GILL NET-CORE PANEL","Sample Grid #421","24.00000","Hours","Freshwater Drum","398","P-M","890","1"
