"fish_sample_id","impoundment_code","sample_date","gear_description","location","units_of_effort","effort_description"
"93371","MILR","2022-10-31","GILL NET-CORE PANEL","Sample Grid #402","18.00000","Hours"
"93370","MILR","2022-10-31","GILL NET-CORE PANEL","Sample Grid #477","18.00000","Hours"
"93369","MILR","2022-10-31","GILL NET-CORE PANEL","Sample Grid #444","18.00000","Hours"
"93368","MILR","2022-10-31","GILL NET-CORE PANEL","Sample Grid #538","18.00000","Hours"
"93367","MILR","2022-10-31","GILL NET-CORE PANEL","Sample Grid #627","18.00000","Hours"
"93362","MILR","2022-10-28","GILL NET-CORE PANEL","Sample Grid #723","18.00000","Hours"
"93361","MILR","2022-10-28","GILL NET-CORE PANEL","Sample Grid #783","18.00000","Hours"
"93360","MILR","2022-10-28","GILL NET-CORE PANEL","Sample Grid #791","18.00000","Hours"
"93359","MILR","2022-10-28","GILL NET-CORE PANEL","Sample Grid #707","18.00000","Hours"
"93358","MILR","2022-10-28","GILL NET-CORE PANEL","Sample Grid #737","18.00000","Hours"
"93357","MESL","2022-10-14","GILL NET-CORE PANEL","Sample Grid #9","18.50000","Hours"
"93356","MESL","2022-10-14","GILL NET-CORE PANEL","Sample Grid #26","18.50000","Hours"
"93355","MESL","2022-10-14","GILL NET-CORE PANEL","Sample Grid #29","18.50000","Hours"
"93346","KWSL","2022-10-18","GILL NET-CORE PANEL","Sample Grid #11","18.00000","Hours"
"93345","KWSL","2022-10-18","GILL NET-CORE PANEL","Sample Grid #8","18.00000","Hours"
"93344","KWSL","2022-10-18","GILL NET-CORE PANEL","Sample Grid #7","18.00000","Hours"
"93340","TCRR","2022-10-27","GILL NET-CORE PANEL","Sample Grid #559","24.00000","Hours"
"93339","TCRR","2022-10-27","GILL NET-CORE PANEL","Sample Grid #542","24.00000","Hours"
"93338","TCRR","2022-10-27","GILL NET-CORE PANEL","Sample Grid #540","24.00000","Hours"
"93337","TCRR","2022-10-27","GILL NET-CORE PANEL","Sample Grid #556","24.00000","Hours"
"93336","TCRR","2022-10-27","GILL NET-CORE PANEL","Sample Grid #523","24.00000","Hours"
"93331","MILR","2022-10-27","GILL NET-CORE PANEL","Sample Grid #383","18.00000","Hours"
"93330","MILR","2022-10-27","GILL NET-CORE PANEL","Sample Grid #419","18.00000","Hours"
"93328","MILR","2022-10-27","GILL NET-CORE PANEL","Sample Grid #637","18.00000","Hours"
"93327","MILR","2022-10-27","GILL NET-CORE PANEL","Sample Grid #243","18.00000","Hours"
"93326","MILR","2022-10-27","GILL NET-CORE PANEL","Sample Grid #296","18.00000","Hours"
"93322","CHNR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #242","23.00000","Hours"
"93321","CHNR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #226","22.00000","Hours"
"93320","CHNR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #212","21.00000","Hours"
"93319","CHNR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #179","21.00000","Hours"
"93318","CHNR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #151","20.00000","Hours"
"93317","CHNR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #139","20.00000","Hours"
"93316","CHNR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #111","19.00000","Hours"
"93315","CHNR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #67","19.00000","Hours"
"93314","CHNR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #55","18.00000","Hours"
"93313","CHNR","2022-10-19","GILL NET-CORE PANEL","Sample Grid #34","18.00000","Hours"
"93312","CHNR","2022-10-18","GILL NET-CORE PANEL","Sample Grid #62","24.00000","Hours"
"93311","CHNR","2022-10-18","GILL NET-CORE PANEL","Sample Grid #88","23.00000","Hours"
"93310","CHNR","2022-10-18","GILL NET-CORE PANEL","Sample Grid #102","23.00000","Hours"
"93309","CHNR","2022-10-18","GILL NET-CORE PANEL","Sample Grid #131","22.00000","Hours"
"93308","CHNR","2022-10-18","GILL NET-CORE PANEL","Sample Grid #161","22.00000","Hours"
"93307","CHNR","2022-10-18","GILL NET-CORE PANEL","Sample Grid #189","21.00000","Hours"
"93306","CHNR","2022-10-18","GILL NET-CORE PANEL","Sample Grid #237","21.00000","Hours"
"93305","CHNR","2022-10-18","GILL NET-CORE PANEL","Sample Grid #271","20.00000","Hours"
"93304","CHNR","2022-10-18","GILL NET-CORE PANEL","Sample Grid #310","20.00000","Hours"
"93303","CHNR","2022-10-18","GILL NET-CORE PANEL","Sample Grid #345","20.00000","Hours"
"93299","TCRR","2022-10-26","GILL NET-CORE PANEL","Sample Grid #154","24.00000","Hours"
"93298","TCRR","2022-10-26","GILL NET-CORE PANEL","Sample Grid #209","24.00000","Hours"
"93297","TCRR","2022-10-26","GILL NET-CORE PANEL","Sample Grid #210","24.00000","Hours"
"93296","TCRR","2022-10-26","GILL NET-CORE PANEL","Sample Grid #197","24.00000","Hours"
