impoundment_code,impd,long,lat,ac,huc8
SGEP,Afton RP-East,-97.63434,37.60202,1,11030016
SGWP,Afton RP-West,-97.63434,37.60202,1,11030016
AGCL,Agra City Lake,-99.12707345,39.76044834,7,10260012
ALL,All,,,,
AECL,Allen City Lake,-96.15617,38.66709,59,10290101
ALCL,Alma City Lake,-96.2593244,38.98102387,80,10270102
ALCA,Altamont City Lake-East,-95.28803,37.1407,21,11070205
ALCB,Altamont City Lake-West,-95.29186,37.14036,13,11070205
ANHS,Andale High School - Renwick 267 Pond,-97.639036,37.797188,2,11030013
ANCA,Andover-Lake George,-97.11319,37.69542,4,11030018
ANCL,Anthony City Lake,-98.05112334,37.18016825,156,11060005
ANRP,Anthony RP,-98.05086,37.17206,1,11060005
ARIZ,Arizona,-111.58863,35.17605,,
ARKA,Arkansas,-98.03117,37.15335,,11060005
ARKP,Arkansas City Pond,-97.02571,37.08797,16,11030018
ARKB,Arkansas City-Knebbler Pond #1,-97.02407,37.06921,16,11030018
ARKC,Arkansas City-Knebbler Pond #2,-97.02531,37.06549,5,11030018
ARKS,Arkansas River,-97.34385,37.67138,,11030013
ARKO,Arkansas River-Oxford,-97.1623,37.27588,2,11030013
ARCL,Arma City Lake,-94.69221,37.53967,1.5,11070207
ATCA,Atchison City Lake #1,-95.11834,39.57922,6,10240011
ATCB,Atchison City Lake #2,-95.12343,39.57922,3,10240011
ATCG,Atchison City Lake #23,-95.15013869,39.53797811,39,10240011
ATCK,Atchison City Lake #24,-95.13056,39.54451,4,10240011
ATCC,Atchison City Lake #3,-95.1268,39.57747,4,10240011
ATCD,Atchison City Lake #4,-95.13327,39.5752,4,10240011
ATCH,Atchison City Lake #6,-95.14056,39.56664,4,10240011
ATCE,Atchison City Lake #7,-95.14847,39.56499,10,10240011
ATCF,Atchison City Lake #8,-95.15914,39.55983,14,10240011
ATCI,Atchison City Lake #9,-95.16388,39.55506,18,10240011
ATCJ,Atchison County Lake,-95.45674478,39.63774892,60,10270103
VPAF,Atchison Distr. FISH Map 6 Prop 12 13 14,,,1,
VPAE,Atchison Distr. FISH Map 6 Prop 7 8 25,,,1,
ATSL,Atchison State Fishing Lake,-95.17519056,39.63451954,66,10240011
AUCL,Augusta City Lake,-96.98209,37.69836,,11030017
BWCL,Baldwin-Spring Creek Lake,-95.16247,38.75376,7,10290101
HOCC,Banner Creek Lake,-95.77838336,39.45138059,535,10270103
BBBB,Barber Co-99 Springs,-98.59066,37.4,0,11060003
BBBA,Barber Co-Arrowhead Lake,-98.60622,37.41297,0,11060003
BASB,Barber State Fishing Lake,-98.58188384,37.29981098,51,11060003
BASA,Barber State Fishing Lake-Upper,-98.58309,37.3018,26,11060003
BTCL,Bartlett City Lake,-95.21608,37.0595,19,11070205
BACP,Bel Aire-Central Park Lake,-97.25537,37.77667,5,11030013
BACL,Bel Aire-Eagle Lake,-97.27565,37.76019,4,11030013
BLCL,Belleville-Rocky Pond,-97.61979002,39.83074123,27,10250017
BNPK,Benton Poling Park Lake,-97.11331,37.79559,5,11030017
BDWA,Berentz-Dick Wildlife Area Pond,-95.95561,37.18857,7,11070106
BVRL,Bever Lake,,,0,
BLRV,Big Blue River-North,-96.66146,39.84133,0,10270205
SBBR,Big Blue River-South,-96.53734,39.19217,0,10270205
BGHP,Big Hill Overlook Pond,-95.47215,37.2727,1,11070103
BGHR,Big Hill Reservoir,-95.45832903,37.29233671,1240,11070103
